route_id,route_short_name,route_long_name,route_type,manila_id
LTFRB_BUS1018,,Ayala Malabon via EDSA,3,partial
LTFRB_BUS1095,,Alabang - Navotas Terminal via EDSA,3,partial
LTFRB_BUS1106,,Antipolo-Divisoria via Shaw Blvd,3,partial
LTFRB_BUS1135,,Baclaran-SM Fairview via Quezon Ave,3,partial
LTFRB_BUS1168,,Moonwalk - Plaza Lawton,3,partial
LTFRB_BUS1186,,Pandacan (Beata) - Quiapo via C. Palanca,3,complete
LTFRB_BUS1189,,Sapang Palay - Sta. Cruz via Marilao Exit,3,partial
LTFRB_JEEP1071,,"Baclaran - Blumentritt via L. Guinto, Quiapo",2,partial
LTFRB_JEEP1073,,"Baclaran - Blumentritt via Mabini, Quiapo",2,partial
LTFRB_JEEP1074,,"Baclaran - Blumentritt via Mabini, Quiapo",2,partial
LTFRB_JEEP1122,,Balic - Balic - Bustillos via G. Tuazon,2,complete
LTFRB_JEEP1125,,Balic - Balic - Quiapo (Barbosa) via Lepanto,2,complete
LTFRB_JEEP1164,,"Blumentritt - Libertad via Quiapo, L. Guinto",2,partial
LTFRB_JEEP1165,,"Blumentritt - Libertad via Quiapo, L. Guinto",2,partial
LTFRB_JEEP1177,,"Blumentritt - Pasay RTDA via Sta. Cruz, L. Guinto",2,partial
LTFRB_JEEP1182,,Blumentritt - Retiro,2,partial
LTFRB_JEEP1185,,Blumentritt - Sta. Quiteria,2,partial
LTFRB_JEEP1186,,"Blumentritt - Vito Cruz via Quiapo, Mabini",2,complete
LTFRB_JEEP1187,,"Blumentritt - Vito Cruz via Quiapo, Mabini",2,complete
LTFRB_JEEP1191,,Boni - Kalentong/JRC via Boni Ave.,2,partial
LTFRB_JEEP1205,,Calumpang - Stop & Shop via Aurora Blvd.,2,partial
LTFRB_JEEP1213,,Cartimar - EDSA/Buendia via Bel Air,2,partial
LTFRB_JEEP1225,,"Cubao-Divisoria via Sta.Mesa,Aurora Blvd.",2,partial
LTFRB_JEEP1244,,Dapitan - Libertad via Mabini,2,partial
LTFRB_JEEP1260,,Divisoria - Libertad via L. Guinto,2,partial
LTFRB_JEEP1261,,Divisoria - Libertad via L. Guinto,2,partial
LTFRB_JEEP1265,,Divisoria - Malinta via J.A. Santos,2,partial
LTFRB_JEEP1266,,Divisoria - Magpajo via A. Mabini,2,complete
LTFRB_JEEP1274,,Divisoria - Pasay RTDA. Via L. Guinto,2,partial
LTFRB_JEEP1284,,Divisoria - San Juan,2,partial
LTFRB_JEEP1296,,Divisoria - Velasquez,2,complete
LTFRB_JEEP1299,,Dominga - Libertad,2,partial
LTFRB_JEEP1327,,Escolta - Libertad via L. Guinto,2,partial
LTFRB_JEEP1330,,"Escolta - Monumento via G. del Mundo, Dasmarinas, Nueva",2,partial
LTFRB_JEEP1337,,Espana - Rizal Ave. via Blumentritt,2,complete
LTFRB_JEEP1382,,"Kamuning - Vito Cruz via E. Rodriguez, Mabini",2,partial
LTFRB_JEEP1390,,L. Guinto - Zobel Roxas via Paco,2,complete
LTFRB_JEEP1416,,"Libertad - Retiro via Mabini, Sta. Cruz",2,partial
LTFRB_JEEP1428,,"Malanday - Pier South via Rizal Ave., P. Burgos",2,partial
LTFRB_JEEP1478,,"Monumento - Vito Cruz via Rizal Ave., Taft Ave.",2,partial
LTFRB_JEEP1480,,"Monumento - Vito C ruz via Rizal Ave., Mabini",2,partial
LTFRB_JEEP1509,,P. Faura - San Andres,2,complete
LTFRB_JEEP1526,,"Pasig (TP) - Quiapo (Echague) via Sta. Mesa, C. Palanca",2,partial
LTFRB_JEEP1539,,Pier South - Proj. 4 via Espana,2,partial
LTFRB_JEEP1547,,Pier South - Retiro via Sta. Cruz,2,partial
LTFRB_JEEP1557,,Proj. 6 - T.M. Kalaw via Quezon Ave.,2,partial
LTFRB_JEEP1565,,Punta - Pier via Manila City Hall,2,complete
LTFRB_JEEP1568,,Quezon Ave. - Sta. Mesa Mkt. via Araneta Ave.,2,partial
LTFRB_JEEP1584,,San Miguel - Ikot,2,complete
LTFRB_JEEP1587,,Santol - Pina Ave. via Buenos Aires,2,partial
LTFRB_JEEP1589,,SSS Village - Stop & Shop via Aurora Blvd.,2,partial
LTFRB_JEEP1606,,Proj 7 - Quiapo,2,partial
LTFRB_JEEP1614,,Malanday-Sta Cruz,2,partial
LTFRB_JEEP1629,,Del Monte - Kanloan via Mayon,2,partial
LTFRB_JEEP1650,,Kamagong - Malugay Ave.,2,partial
LTFRB_JEEP1652,,Quiapo - San Miguel via Palanca,2,complete
LTFRB_JEEP1660,,T.M. Kalaw - West Ave. via Quiapo,2,partial
LTFRB_JEEP1674,,PIER-DELPAN ZARAGOSA,2,complete
LTFRB_JEEP1676,,PIER SOUTH-PROJ 6,2,partial
LTFRB_JEEP1685,,PHILCOA - PIER SOUTH,2,partial
