route_id,service_id,trip_id,manila_id
LTFRB_JEEP1852,724594,726129,complete
LTFRB_JEEP2600,724594,726130,partial
LTFRB_JEEP2539,724594,726131,partial
LTFRB_JEEP1614,724594,726135,partial
LTFRB_JEEP2555,724594,726138,partial
LTFRB_JEEP1205,724594,726139,partial
LTFRB_JEEP2503,724594,726141,complete
LTFRB_JEEP1760,724594,726143,partial
LTFRB_JEEP2509,724594,726145,partial
LTFRB_JEEP1382,724594,726146,partial
LTFRB_JEEP2360,724594,726147,partial
LTFRB_JEEP2609,724594,726148,complete
LTFRB_JEEP1265,724594,726149,partial
LTFRB_JEEP2583,724594,726151,partial
LTFRB_JEEP2038,724594,726152,complete
LTFRB_JEEP1330,724594,726157,partial
LTFRB_JEEP2568,724594,726159,complete
LTFRB_JEEP1299,724594,726160,partial
LTFRB_JEEP2569,724594,726163,partial
LTFRB_JEEP2610,724594,726165,complete
LTFRB_JEEP2060,724594,726168,partial
LTFRB_JEEP1650,724594,726170,partial
LTFRB_JEEP1296,724594,726171,complete
LTFRB_JEEP1187,724594,726173,complete
LTFRB_JEEP1967,724594,726175,partial
LTFRB_JEEP1284,724594,726178,partial
LTFRB_JEEP1565,724594,726179,complete
LTFRB_JEEP1557,724594,726182,partial
LTFRB_JEEP1606,724594,726183,partial
LTFRB_JEEP2500,724594,726185,partial
LTFRB_BUS1095,724594,726186,partial
LTFRB_JEEP1509,724594,726191,complete
LTFRB_JEEP2448,724594,726193,complete
LTFRB_JEEP1244,724594,726194,partial
LTFRB_JEEP2185,724594,726195,complete
LTFRB_JEEP1260,724594,726198,partial
LTFRB_JEEP1261,724594,726201,partial
LTFRB_JEEP2441,724594,726203,complete
LTFRB_JEEP1185,724594,726208,partial
LTFRB_JEEP2161,724594,726210,complete
LTFRB_JEEP1589,724594,726211,partial
LTFRB_JEEP1854,724594,726212,partial
LTFRB_JEEP2499,724594,726213,partial
LTFRB_JEEP1191,724594,726214,partial
LTFRB_JEEP2198,724594,726215,partial
LTFRB_JEEP2382,724594,726218,partial
LTFRB_JEEP1182,724594,726219,partial
LTFRB_JEEP1936,724594,726223,partial
LTFRB_JEEP2541,724594,726224,partial
LTFRB_JEEP1884,724594,726228,partial
LTFRB_JEEP1652,724594,726230,complete
LTFRB_JEEP1390,724594,726232,complete
LTFRB_JEEP2076,724594,726233,complete
LTFRB_BUS1186,724594,726237,complete
LTFRB_JEEP1327,724594,726239,partial
LTFRB_JEEP1584,724594,726241,complete
LTFRB_JEEP1416,724594,726247,partial
LTFRB_JEEP1478,724594,726249,partial
LTFRB_JEEP2584,724594,726252,partial
LTFRB_JEEP1660,724594,726253,partial
LTFRB_JEEP2473,724594,726255,partial
LTFRB_JEEP2243,724594,726258,partial
LTFRB_JEEP1674,724594,726259,complete
LTFRB_JEEP1337,724594,726260,complete
LTFRB_JEEP1885,724594,726262,partial
LTFRB_JEEP1164,724594,726263,partial
LTFRB_JEEP1266,724594,726264,complete
LTFRB_JEEP2105,724594,726267,partial
LTFRB_JEEP1125,724594,726273,complete
LTFRB_JEEP2187,724594,726277,complete
LTFRB_JEEP1539,724594,726280,partial
LTFRB_JEEP1937,724594,726283,partial
