trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled
route_001_outbound,06:00:00,06:00:00,stop_1_001,1,0.0
route_001_outbound,06:05:00,06:05:00,stop_1_002,2,0.0004534439780899
route_001_outbound,06:10:00,06:10:00,stop_1_003,3,0.000906887956183
route_001_outbound,06:15:00,06:15:00,stop_1_004,4,0.0013603319342837
route_001_outbound,06:20:00,06:20:00,stop_1_005,5,0.0018137759123736
route_001_outbound,06:30:00,06:30:00,stop_1_007,7,0.002720663868556
route_001_outbound,06:40:00,06:40:00,stop_1_009,9,0.0036275518247463
route_001_outbound,06:50:00,06:50:00,stop_1_011,11,0.0045344397809308
route_001_outbound,06:60:00,06:60:00,stop_1_013,13,0.0054413277371166
route_001_outbound,06:70:00,06:70:00,stop_1_015,15,0.0063482156933018
route_001_outbound,06:80:00,06:80:00,stop_1_017,17,0.0072551036494877
route_001_outbound,06:90:00,06:90:00,stop_1_019,19,0.008161991605676
route_001_outbound,06:100:00,06:100:00,stop_1_021,21,0.0090688795618587
route_001_outbound,06:110:00,06:110:00,stop_1_023,23,0.0099757675180468
route_001_outbound,06:120:00,06:120:00,stop_1_025,25,0.0108826554742351
route_001_outbound,06:130:00,06:130:00,stop_1_027,27,0.011789543430417
route_001_outbound,06:140:00,06:140:00,stop_1_029,29,0.0126964313866068
route_001_outbound,06:150:00,06:150:00,stop_1_031,31,0.0136033193427912
route_001_outbound,06:160:00,06:160:00,stop_1_033,33,0.0145102072989754
route_001_outbound,06:170:00,06:170:00,stop_1_035,35,0.0154170952551635
route_001_outbound,06:180:00,06:180:00,stop_1_037,37,0.0163239832113496
route_001_outbound,06:190:00,06:190:00,stop_1_039,39,0.0172308711675335
route_001_outbound,06:200:00,06:200:00,stop_1_041,41,0.0181377591237174
route_001_outbound,06:210:00,06:210:00,stop_1_043,43,0.0190446470799028
route_001_outbound,06:220:00,06:220:00,stop_1_045,45,0.0199515350360924
route_001_outbound,06:230:00,06:230:00,stop_1_047,47,0.0208584229922785
route_001_outbound,06:240:00,06:240:00,stop_1_049,49,0.0217653109484615
route_001_outbound,06:250:00,06:250:00,stop_1_051,51,0.0226721989046494
route_001_outbound,06:260:00,06:260:00,stop_1_053,53,0.0235790868608388
route_001_outbound,06:270:00,06:270:00,stop_1_055,55,0.0244859748170191
route_001_outbound,06:280:00,06:280:00,stop_1_057,57,0.0253928627732063
route_001_outbound,06:290:00,06:290:00,stop_1_059,59,0.0262997507293934
route_001_outbound,06:300:00,06:300:00,stop_1_061,61,0.0272066386855801
route_001_outbound,06:310:00,06:310:00,stop_1_063,63,0.0281135266417655
route_001_outbound,06:320:00,06:320:00,stop_1_065,65,0.0290204145979516
route_001_outbound,06:330:00,06:330:00,stop_1_067,67,0.029927302554136
route_001_outbound,06:340:00,06:340:00,stop_1_069,69,0.0308341905103224
route_001_outbound,06:350:00,06:350:00,stop_1_071,71,0.0317410784665099
route_001_outbound,06:360:00,06:360:00,stop_1_073,73,0.0326479664226958
route_001_outbound,06:370:00,06:370:00,stop_1_075,75,0.0335548543788801
route_001_outbound,06:380:00,06:380:00,stop_1_077,77,0.0344617423350675
route_001_outbound,06:390:00,06:390:00,stop_1_079,79,0.0353686302912517
route_001_outbound,06:400:00,06:400:00,stop_1_081,81,0.0362755182474365
route_001_outbound,06:410:00,06:410:00,stop_1_083,83,0.0371824062036252
route_001_inbound,06:00:00,06:00:00,stop_1_083,1,0.0371824062036252
route_001_inbound,06:10:00,06:10:00,stop_1_081,3,0.0362755182474365
route_001_inbound,06:20:00,06:20:00,stop_1_079,5,0.0353686302912517
route_001_inbound,06:30:00,06:30:00,stop_1_077,7,0.0344617423350675
route_001_inbound,06:40:00,06:40:00,stop_1_075,9,0.0335548543788801
route_001_inbound,06:50:00,06:50:00,stop_1_073,11,0.0326479664226958
route_001_inbound,06:60:00,06:60:00,stop_1_071,13,0.0317410784665099
route_001_inbound,06:70:00,06:70:00,stop_1_069,15,0.0308341905103224
route_001_inbound,06:80:00,06:80:00,stop_1_067,17,0.029927302554136
route_001_inbound,06:90:00,06:90:00,stop_1_065,19,0.0290204145979516
route_001_inbound,06:100:00,06:100:00,stop_1_063,21,0.0281135266417655
route_001_inbound,06:110:00,06:110:00,stop_1_061,23,0.0272066386855801
route_001_inbound,06:120:00,06:120:00,stop_1_059,25,0.0262997507293934
route_001_inbound,06:130:00,06:130:00,stop_1_057,27,0.0253928627732063
route_001_inbound,06:140:00,06:140:00,stop_1_055,29,0.0244859748170191
route_001_inbound,06:150:00,06:150:00,stop_1_053,31,0.0235790868608388
route_001_inbound,06:160:00,06:160:00,stop_1_051,33,0.0226721989046494
route_001_inbound,06:170:00,06:170:00,stop_1_049,35,0.0217653109484615
route_001_inbound,06:180:00,06:180:00,stop_1_047,37,0.0208584229922785
route_001_inbound,06:190:00,06:190:00,stop_1_045,39,0.0199515350360924
route_001_inbound,06:200:00,06:200:00,stop_1_043,41,0.0190446470799028
route_001_inbound,06:210:00,06:210:00,stop_1_041,43,0.0181377591237174
route_001_inbound,06:220:00,06:220:00,stop_1_039,45,0.0172308711675335
