distance,regular,discounted
1,15.00,12.00
2,15.00,12.00
3,15.00,12.00
4,15.00,12.00
5,15.00,12.00
6,17.75,14.00
7,20.25,16.25
8,23.00,18.25
9,25.50,20.50
10,28.25,22.50
11,31.00,24.75
12,33.50,26.75
13,36.25,29.00
14,38.75,31.00
15,41.50,33.25
16,44.25,35.25
17,46.75,37.50
18,49.50,39.50
19,52.00,41.75
20,54.75,43.75
21,57.50,46.00
22,60.00,48.00
23,62.75,50.25
24,65.25,52.25
25,68.00,54.50
26,70.75,56.50
27,73.25,58.75
28,76.00,60.75
29,78.50,63.00
30,81.25,65.00
31,84.00,67.00
32,86.50,69.25
33,89.25,71.25
34,91.75,73.50
35,94.50,75.50
36,97.25,77.75
37,99.75,79.75
38,102.50,82.00
39,105.00,84.00
40,107.75,86.25
41,110.50,88.25
42,113.00,90.50
43,115.75,92.50
44,118.25,94.75
45,121.00,96.75
46,123.75,99.00
47,126.25,101.00
48,129.00,103.25
49,131.50,105.25
50,134.25,107.50
51,137.00,109.50
52,139.50,111.75
53,142.25,113.75
54,144.75,116.00
55,147.50,118.00
56,150.25,120.00
57,152.75,122.25
58,155.50,124.25
59,158.00,126.50
60,160.75,128.50
