trip_id,arrival_time,departure_time,stop_id,stop_sequence
880815,00:00:00,00:00:00,LTFRB_4977,1
880815,00:02:30,00:03:00,LTFRB_4978,2
880815,00:06:30,00:07:00,LTFRB_4979,3
880815,00:10:00,00:10:30,LTFRB_4980,4
882129,00:00:00,00:00:00,LTFRB_4977,1
882129,00:02:30,00:03:00,LTFRB_4978,2
882129,00:06:30,00:07:00,LTFRB_4979,3
882129,00:10:00,00:10:30,LTFRB_4980,4
882130,00:00:00,00:00:00,LTFRB_4977,1
882130,00:02:30,00:03:00,LTFRB_4978,2
882130,00:06:30,00:07:00,LTFRB_4979,3
882130,00:10:00,00:10:30,LTFRB_4980,4
882131,00:00:00,00:00:00,LTFRB_4977,1
882131,00:02:30,00:03:00,LTFRB_4978,2
882131,00:06:30,00:07:00,LTFRB_4979,3
882131,00:10:00,00:10:30,LTFRB_4980,4
882132,00:00:00,00:00:00,LTFRB_4977,1
882132,00:02:30,00:03:00,LTFRB_4978,2
882132,00:06:30,00:07:00,LTFRB_4979,3
882132,00:10:00,00:10:30,LTFRB_4980,4
882133,00:00:00,00:00:00,LTFRB_4977,1
882133,00:02:30,00:03:00,LTFRB_4978,2
882133,00:06:30,00:07:00,LTFRB_4979,3
882133,00:10:00,00:10:30,LTFRB_4980,4
882134,00:00:00,00:00:00,LTFRB_4977,1
882134,00:02:30,00:03:00,LTFRB_4978,2
882134,00:06:30,00:07:00,LTFRB_4979,3
882134,00:10:00,00:10:30,LTFRB_4980,4
882135,00:22:30,00:23:00,LTFRB_4980,8
882135,00:26:00,00:26:30,LTFRB_4979,9
882135,00:30:00,00:30:30,LTFRB_4978,10
882135,00:33:00,00:33:30,LTFRB_4977,11
882136,00:22:30,00:23:00,LTFRB_4980,8
882136,00:26:00,00:26:30,LTFRB_4979,9
882136,00:30:00,00:30:30,LTFRB_4978,10
882136,00:33:00,00:33:30,LTFRB_4977,11
882137,00:22:30,00:23:00,LTFRB_4980,8
882137,00:26:00,00:26:30,LTFRB_4979,9
882137,00:30:00,00:30:30,LTFRB_4978,10
882137,00:33:00,00:33:30,LTFRB_4977,11
882138,00:22:30,00:23:00,LTFRB_4980,8
882138,00:26:00,00:26:30,LTFRB_4979,9
882138,00:30:00,00:30:30,LTFRB_4978,10
882138,00:33:00,00:33:30,LTFRB_4977,11
882139,00:22:30,00:23:00,LTFRB_4980,8
882139,00:26:00,00:26:30,LTFRB_4979,9
882139,00:30:00,00:30:30,LTFRB_4978,10
882139,00:33:00,00:33:30,LTFRB_4977,11
882140,00:22:30,00:23:00,LTFRB_4980,8
882140,00:26:00,00:26:30,LTFRB_4979,9
882140,00:30:00,00:30:30,LTFRB_4978,10
882140,00:33:00,00:33:30,LTFRB_4977,11
882141,00:22:30,00:23:00,LTFRB_4980,8
882141,00:26:00,00:26:30,LTFRB_4979,9
882141,00:30:00,00:30:30,LTFRB_4978,10
882141,00:33:00,00:33:30,LTFRB_4977,11
882210,00:08:56,00:09:26,LTFRB_4948,5
882210,00:11:16,00:11:46,LTFRB_4949,6
882210,00:13:26,00:13:56,LTFRB_4950,7
882210,00:15:26,00:15:56,LTFRB_4951,8
882210,00:18:46,00:19:16,LTFRB_4952,9
882210,00:20:46,00:21:16,LTFRB_4953,10
882210,00:22:46,00:23:16,LTFRB_4954,11
882210,00:24:36,00:25:06,LTFRB_4955,12
882210,00:26:26,00:26:56,LTFRB_4956,13
