stop_id,stop_name,stop_lat,stop_lon
LTFRB_4948,Vito Cruz LRT,14.5636,120.995
LTFRB_4949,Quirino Ave LRT,14.5703,120.992
LTFRB_4950,Pedro Gil LRT,14.5763,120.988
LTFRB_4951,UN Ave LRT,14.5826,120.985
LTFRB_4952,Central Terminal LRT,14.5928,120.982
LTFRB_4953,Carriedo LRT,14.5991,120.981
LTFRB_4954,Doroteo Jose LRT,14.6053,120.982
LTFRB_4955,Bambang LRT,14.6109,120.982
LTFRB_4956,Tayuman LRT,14.6168,120.983
LTFRB_4957,Blumentritt LRT,14.6228,120.983
LTFRB_4958,Abad Santos LRT,14.6306,120.982
LTFRB_4959,R. Papa LRT,14.636,120.982
LTFRB_4960,5th Ave LRT ,14.6444,120.984
LTFRB_4977,Recto LRT,14.6035078518,120.9834301472
LTFRB_4978,Legarda LRT,14.600777309,120.9924852848
LTFRB_4979,Pureza LRT,14.6017324837,121.005038023
LTFRB_4980,V. Mapa LRT,14.6042,121.017
LTFRB_109,"Banco De Oro, Rizal Avenue, Caloocan City",14.6412,120.984
LTFRB_110,"Baliwag Transit Bus Station, Rizal Avenue, Caloocan City",14.64,120.984
LTFRB_111,"Rizal Avenue / Road 1 Intersection, Caloocan City",14.6374,120.983
LTFRB_112,"LRT Papa Station, Rizal  Avenue, Caloocan City",14.6362,120.982
LTFRB_113,"Rizal Avenue / Jose Abad Santos Avenue Interchange, Caloocan City",14.632,120.981
LTFRB_1301,"Del Monte Avenue / A. Bonifacio Intersection, Quezon City",14.6374,120.994
LTFRB_1319,"N. S. Amoranto, Quezon City",14.6358,120.994
LTFRB_1325,"Mayon, Quezon City",14.6257,120.998
LTFRB_1326,"Mayon, Quezon City",14.6239,120.999
LTFRB_1327,"Community Centre, San Isidro Labrador, Quezon City",14.6226,120.999
LTFRB_1332,"Kanlaon, Quezon City",14.6192,121.002
LTFRB_1333,"Kanlaon, Quezon City",14.6208,121.001
LTFRB_1409,"Andres Bonifacio near Manila North Cemetary, Quezon City",14.6355,120.993
LTFRB_1410,"Andres Bonifacio / Magnas Intersection, Quezon City",14.6341,120.993
LTFRB_1411,"Andres Bonifacio / Lunas Intersection, Quezon City",14.6319,120.992
LTFRB_1412,"Andres Bonifacio / Bulusan Intersection, Quezon City",14.6297,120.991
LTFRB_1413,"Andres Bonifacio / Iba Intersection, Quezon City",14.6277,120.99
LTFRB_1414,"Andres Bonifacio / Ferdinand Blumentritt Intersection, Quezon City",14.626,120.99
LTFRB_1415,"Norberto S. Amoranto Street / Bulasan Intersection, Quezon City",14.6286,120.994
LTFRB_1416,"Norberto S. Amoranto Street / Iba Intersection, Quezon City",14.6271,120.993
LTFRB_1417,"Norberto S. Amoranto Street / Calavite Intersection, Quezon City",14.6258,120.991
LTFRB_1418,"Dimasalang / Aurora Boulevard Intersection, Quezon City",14.6239,120.989
LTFRB_1419,"Ferdinand Blumentritt / Aurora Boulevard Intersection, Quezon City",14.6253,120.987
LTFRB_1421,"Ferdinand Blumentritt, Quezon City",14.6231,120.993
LTFRB_1422,"Ferdinand Blumentritt / Laon Laan Intersection, Quezon City",14.6217,120.995
LTFRB_1423,"Halcon, Quezon City",14.6226,120.995
LTFRB_1424,"Maria Clara / Ibarra Intersection, Quezon City",14.6208,120.994
LTFRB_1425,"Ibarra, Quezon City",14.6224,120.992
LTFRB_1426,"Metrica, Quezon City",14.6229,120.99
LTFRB_1427,"Cavitie / Leonor Rivera Intersection, Quezon City",14.6242,120.987
LTFRB_1428,"Cavite / Manuel Hizon Intersection, Quezon City",14.6242,120.985
LTFRB_1429,"Cavite, Quezon City",14.6242,120.983
LTFRB_1430,"Light Rail Transit Line / Bulacan Intersection, Quezon City",14.6268,120.983
LTFRB_1431,"Pampanga / Light Rail Transit Line, Quezon City",14.628,120.984
LTFRB_1432,"Pampanga / Pedro Guevarra Intersection, Quezon City",14.6279,120.986
